Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
313,AZA72B,287.970586,11.8015,1.38499,4.40427,2406
314,AZA82J,287.970586,11.8015,1.38918,4.41758,2407
315,BZE07A,287.970586,11.8015,0.513778,1.63381,2363
316,CFE1AM,287.970586,11.8015,1.55361,4.94046,2361
317,CFE505T,287.970586,11.8015,1.3741,4.36964,2406
318,CFE5VZ,287.970586,11.8015,1.50875,4.79782,2349
319,CFE7307,287.970586,11.8015,1.36187,4.33073,2404
320,CFE7349,287.970586,11.8015,1.38067,4.39054,2406
321,HBFXF,287.970586,11.8015,0.187395,0.595917,4329
322,SWR43P,287.970586,11.8015,1.54281,4.90615,2383
323,SWR44K,287.970586,11.8015,1.43215,4.55423,2361
324,AZA215,287.970586,11.8015,1.42997,4.54729,2411
325,AZA217,287.970586,11.8015,1.43789,4.57249,2415
326,AZA227,287.970586,11.8015,1.46206,4.64935,2419
327,AZA72B,287.970586,11.8015,1.43948,4.57754,2415
328,AZA82J,287.970586,11.8015,1.40685,4.4738,2409
329,BZE03A,287.970586,11.8015,0.605765,1.92633,2293
330,CFE1AM,287.970586,11.8015,1.59634,5.07636,2372
331,CFE505T,287.970586,11.8015,1.17563,3.73851,2461
332,CFE53TK,287.970586,11.8015,1.41083,4.48644,2410
333,CFE5VZ,287.970586,11.8015,1.50765,4.79431,2350
334,CFE7349,287.970586,11.8015,1.4364,4.56776,2412
335,NJE667B,287.970586,11.8015,0.697296,2.2174,2243
336,OAV303P,287.970586,11.8015,0.516722,1.64318,2344
337,SWR435,287.970586,11.8015,1.52261,4.8419,2354
338,SWR43P,287.970586,11.8015,1.4725,4.68254,2368
339,SWR44K,287.970586,11.8015,1.52111,4.83713,2353
340,AZA215,287.970586,11.8015,1.46062,4.64476,2419
341,AZA217,287.970586,11.8015,1.49595,4.75711,2426
342,AZA219,287.970586,11.8015,1.38499,4.40427,2406
343,AZA227,287.970586,11.8015,1.46062,4.64476,2419
344,AZA72B,287.970586,11.8015,1.45289,4.6202,2418
345,AZA82J,287.970586,11.8015,1.41557,4.50151,2411
346,CFE1AM,287.970586,11.8015,1.54064,4.89922,2358
347,CFE505T,287.970586,11.8015,1.43331,4.55794,2414
348,CFE53TK,287.970586,11.8015,1.46062,4.64476,2419
349,CFE5VZ,287.970586,11.8015,1.58402,5.03718,2369
350,CFE7307,287.970586,11.8015,1.43665,4.56855,2404
351,CFE7349,287.970586,11.8015,1.43948,4.57754,2415
352,CFE79J,287.970586,11.8015,1.41557,4.50151,2411
353,EZY21UK,287.970586,11.8015,1.97335,6.27525,2337
354,EZY73BR,287.970586,11.8015,1.96089,6.23564,2317
355,EZY82XF,287.970586,11.8015,1.92452,6.11998,2289
356,LWG1201,287.970586,11.8015,0.540975,1.7203,2401
357,MGGBL,287.970586,11.8015,1.0233,3.25408,2289
358,NJE693C,287.970586,11.8015,0.799615,2.54278,2318
359,NJE911P,287.970586,11.8015,0.617892,1.9649,2405
360,NJE968C,287.970586,11.8015,0.454674,1.44586,2556
361,STK3AP,287.970586,11.8015,1.5634,4.97161,2441
362,SWR435,287.970586,11.8015,1.60177,5.09361,2398
363,SWR43P,287.970586,11.8015,1.49758,4.76232,2374
364,SWR44K,287.970586,11.8015,1.56538,4.9779,2389
365,AZA215,287.970586,11.8015,1.4635,4.65392,2419
366,AZA217,287.970586,11.8015,1.43331,4.55794,2414
367,AZA72B,287.970586,11.8015,1.35531,4.30989,2404
368,AZA82J,287.970586,11.8015,1.41557,4.50151,2411
369,CFE1AM,287.970586,11.8015,1.54064,4.89922,2358
370,CFE2285,287.970586,11.8015,1.53793,4.89063,2357
371,CFE33E,287.970586,11.8015,1.56558,4.97854,2365
372,CFE45J,287.970586,11.8015,1.44867,4.60677,2417
373,CFE5VZ,287.970586,11.8015,1.55642,4.94943,2362
374,CFE7349,287.970586,11.8015,1.43948,4.57754,2415
375,CFE79J,287.970586,11.8015,1.41308,4.49361,2411
376,EZY82XF,287.970586,11.8015,1.86057,5.91663,2279
377,LXTAC,287.970586,11.8015,0.46685,1.48458,2575
378,MAVIR,287.970586,11.8015,1.40924,4.48139,2150
379,NJE759D,287.970586,11.8015,0.372758,1.18537,2665
380,STK3AP,287.970586,11.8015,1.60211,5.09472,2449
381,SWR435,287.970586,11.8015,1.63371,5.19519,2382
382,SWR43P,287.970586,11.8015,1.56573,4.97902,2364
383,CFE1AM,287.970586,11.8015,1.52146,4.83824,2353
384,CFE8741,287.970586,11.8015,1.54341,4.90804,2359
385,EZY7369,287.970586,11.8015,1.85048,5.88453,2277
386,EZY82XF,287.970586,11.8015,1.90344,6.05294,2286
387,GSPTX,287.970586,11.8015,1.01631,3.23185,2285
388,NJE560G,287.970586,11.8015,0.747748,2.37784,2350
389,STK3AP,287.970586,11.8015,1.52195,4.83981,2435
390,SWR435,287.970586,11.8015,1.55175,4.93456,2361
391,CFE33E,287.970586,11.8015,1.50668,4.79126,2348
392,CFE5VZ,287.970586,11.8015,1.53657,4.88629,2357
393,CFE7349,287.970586,11.8015,1.47736,4.698,2423
394,CFE8741,287.970586,11.8015,1.54533,4.91416,2359
395,DGX801,287.970586,11.8015,0.982227,3.12348,2268
396,EZY21UK,287.970586,11.8015,1.94201,6.17559,2317
397,EZY7369,287.970586,11.8015,1.89493,6.02588,2284
398,EZY82XF,287.970586,11.8015,1.84409,5.8642,2276
399,IJM599,287.970586,11.8015,0.781547,2.48532,2272
400,MILLA,287.970586,11.8015,0.454812,1.4463,2399
401,SWR435,287.970586,11.8015,1.53974,4.89639,2358
402,SWR43P,287.970586,11.8015,1.60312,5.09792,2371
403,TOY440,287.970586,11.8015,0.809876,2.57541,2956
404,AXY2801,287.970586,11.8015,0.950672,3.02314,2387
405,AZA215,287.970586,11.8015,1.52373,4.84547,2432
406,AZA217,287.970586,11.8015,1.39022,4.42091,2407
407,AZA219,287.970586,11.8015,1.37907,4.38544,2406
408,AZA227,287.970586,11.8015,1.48813,4.73225,2415
409,AZA72B,287.970586,11.8015,1.35229,4.30027,2403
410,AZA82J,287.970586,11.8015,1.40907,4.48084,2409
411,CFE1AM,287.970586,11.8015,1.52425,4.84713,2354
412,CFE33E,287.970586,11.8015,1.51592,4.82063,2352
413,CFE505T,287.970586,11.8015,1.48124,4.71033,2423
414,CFE53TK,287.970586,11.8015,1.40685,4.4738,2409
415,CFE5VZ,287.970586,11.8015,1.55361,4.94046,2361
416,CFE7349,287.970586,11.8015,1.45094,4.61399,2414
417,EZS9002,287.970586,11.8015,1.93364,6.14897,2284
418,STK3AP,287.970586,11.8015,1.703,5.41554,2480
419,SWR435,287.970586,11.8015,1.585,5.04032,2394
420,SWR43P,287.970586,11.8015,1.51858,4.82908,2378
421,SWR44K,287.970586,11.8015,1.55534,4.94599,2386
422,AZA215,287.970586,11.8015,1.47102,4.67785,2421
423,AZA217,287.970586,11.8015,1.45401,4.62376,2418
424,AZA219,287.970586,11.8015,1.41557,4.50151,2411
425,AZA227,287.970586,11.8015,1.44098,4.58233,2415
426,AZA72B,287.970586,11.8015,1.33083,4.23205,2401
427,AZA82J,287.970586,11.8015,1.50444,4.78413,2428
428,CFE1AM,287.970586,11.8015,1.55642,4.94943,2362
429,CFE5VZ,287.970586,11.8015,1.51312,4.81172,2351
430,CFE7349,287.970586,11.8015,1.48441,4.72044,2421
431,HRN122,287.970586,11.8015,0.332183,1.05634,2662
432,SWR43P,287.970586,11.8015,1.60177,5.09361,2398
433,SWR44K,287.970586,11.8015,1.5259,4.85235,2380
434,AZA215,287.970586,11.8015,1.48586,4.72505,2421
435,AZA217,287.970586,11.8015,1.41557,4.50151,2411
436,AZA227,287.970586,11.8015,1.4003,4.45295,2408
437,AZA72B,287.970586,11.8015,1.41557,4.50151,2411
438,AZA82J,287.970586,11.8015,1.50904,4.79875,2425
439,CFE1AM,287.970586,11.8015,1.45986,4.64234,2340
440,CFE505T,287.970586,11.8015,1.06429,3.38445,2445
441,CFE53TK,287.970586,11.8015,1.45558,4.62875,2418
442,CFE5VZ,287.970586,11.8015,1.53931,4.895,2358
443,CFE7349,287.970586,11.8015,1.4364,4.56776,2412
444,GAC579N,287.970586,11.8015,0.274313,0.872315,3316
